"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di laureati";"108961";"28885";"76635";"3441"
"Numero di intervistati";"79686";"21045";"56034";"2607"
"Tasso di risposta sul totale dei laureati";"73,1";"72,9";"73,1";"75,8"
"Genere (%)";" ";" ";" ";" "
"Uomini";"39,5";"37,5";"41,9";"4,0"
"Donne";"60,5";"62,5";"58,1";"96,0"
"Età alla laurea (medie, in anni) ";"27,6";"26,8";"27,8";"29,1"
"Voto di laurea (medie, in 110-mi) ";"106,5";"103,9";"107,5";"104,6"
"Durata degli studi (medie, in anni) ";"4,0";"7,0";"2,9";"5,2"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"69,2";"84,5";"64,7";"43,1"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"12,7";"18,8";"10,8";"4,7"
"Tirocinio/praticantato";"23,4";"51,7";"13,7";"1,5"
"Scuola di specializzazione";"13,2";"29,3";"7,2";"11,5"
"Master universitario di primo livello";"5,0";"3,2";"5,4";"12,2"
"Altro tipo di master";"7,4";"7,2";"7,5";"8,4"
"Stage in azienda";"24,4";"17,5";"28,0";"2,6"
"Corso di formazione professionale";"6,2";"4,9";"6,6";"8,9"
"Attività sostenuta da borsa di studio";"5,5";"4,2";"6,2";"1,0"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Condizione occupazionale (%) ";" ";" ";" ";" "
"Lavorano";"67,0";"50,5";"72,0";"91,6"
"Non lavorano e non cercano";"17,2";"31,6";"12,4";"4,1"
"Non lavorano ma cercano";"15,9";"17,9";"15,7";"4,2"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"10,8";"21,4";"7,3";"0,5"
"Quota che lavora, per genere (%)";" ";" ";" ";" "
"Uomini";"69,8";"53,8";"75,0";"85,9"
"Donne";"65,1";"48,6";"69,8";"91,9"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"13,5";"15,7";"13,0";"7,2"
"Non hanno mai lavorato dopo la laurea";"19,5";"33,8";"15,0";"1,1"
"Tasso di occupazione ";"80,1";"73,3";"82,1";"92,0"
"Tasso di disoccupazione ";"11,6";"13,8";"11,3";"3,3"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di occupati";"53351";"10632";"40330";"2389"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"17,2";"7,2";"19,4";"23,9"
"Non proseguono il lavoro iniziato prima della laurea";"17,2";"14,3";"17,7";"22,3"
"Hanno iniziato a lavorare dopo la laurea";"65,6";"78,4";"62,9";"53,8"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,7";"2,6";"1,5";"0,9"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"6,7";"7,2";"6,7";"3,7"
"Tempo dalla laurea al reperimento del primo lavoro";"8,4";"9,9";"8,2";"4,6"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Autonomo";"18,5";"38,8";"14,3";"0,4"
"Tempo indeterminato ";"41,9";"26,2";"46,1";"41,2"
"Contratti formativi ";"7,9";"6,2";"8,8";"0,4"
"Non standard ";"22,6";"16,6";"22,1";"57,1"
"Parasubordinato ";"2,4";"1,8";"2,7";"0,2"
"Altro autonomo ";"3,8";"5,4";"3,6";"0,3"
"Senza contratto";"2,6";"4,5";"2,3";"0,3"
"Diffusione del part-time (%)";"19,5";"20,8";"19,7";"10,4"
"Numero di ore settimanali di lavoro (medie) ";"36,4";"38,3";"36,6";"25,0"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"19,5";"12,5";"17,6";"81,5"
"Privato";"75,7";"86,1";"76,4";"17,2"
"Non profit";"4,7";"1,3";"5,8";"1,2"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"1,1";"0,5";"1,3";"0,1"
"Metalmeccanica e meccanica di precisione";"5,5";"0,9";"7,1";"0,1"
"Edilizia ";"5,2";"8,7";"4,6";"0,0"
"Chimica/Energia ";"4,5";"4,0";"4,9";"0,0"
