"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di laureati";"116724";"36029";"80286";"409"
"Numero di intervistati";"74131";"22635";"51229";"267"
"Tasso di risposta sul totale dei laureati ";"63,5";"62,8";"63,8";"65,3"
"Tasso di risposta sui laureati contattabili ";"71,5";"71,2";"71,7";"68,3"
"Genere (%)";" ";" ";" ";" "
"Uomini";"40,4";"35,8";"42,7";"4,9"
"Donne";"59,6";"64,2";"57,3";"95,1"
"Età alla laurea (medie, in anni) ";"27,3";"27,0";"27,4";"35,2"
"Voto di laurea (medie, in 110-mi) ";"106,7";"104,6";"107,7";"100,3"
"Durata degli studi (medie, in anni) ";"4,1";"7,0";"2,8";"9,7"
"Indice di ritardo ";"0,26";"0,28";"0,24";"1,30"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"68,0";"81,4";"62,3";"27,7"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"10,5";"14,5";"8,8";"3,7"
"Tirocinio/praticantato";"23,8";"49,5";"12,6";"1,1"
"Scuola di specializzazione";"12,2";"27,4";"5,5";"7,9"
"Master universitario di primo livello";"7,1";"5,7";"7,7";"7,1"
"Altro tipo di master";"7,6";"7,6";"7,6";"5,6"
"Stage in azienda";"24,4";"16,4";"28,0";"1,1"
"Corso di formazione professionale";"4,9";"4,8";"4,9";"5,6"
"Attività sostenuta da borsa di studio";"4,5";"4,2";"4,7";"0,7"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Condizione occupazionale (%) ";" ";" ";" ";" "
"Lavorano";"70,8";"56,4";"77,0";"94,0"
"Non lavorano e non cercano";"17,7";"30,7";"12,0";"3,4"
"Non lavorano ma cercano";"11,5";"12,9";"11,0";"2,6"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"12,1";"22,0";"7,8";"0,7"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"13,1";"16,0";"11,8";"4,5"
"Non hanno mai lavorato dopo la laurea";"16,2";"27,6";"11,2";"1,5"
"Tasso di occupazione ";" ";" ";" ";" "
"Uomini";"87,9";"81,0";"90,4";"92,3"
"Donne";"81,3";"77,9";"82,8";"94,9"
"Totale";"83,9";"79,0";"86,1";"94,8"
"Tasso di disoccupazione ";"8,3";"9,5";"7,9";"2,3"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di occupati";"52463";"12771";"39441";"251"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"12,5";"7,1";"14,1";"34,7"
"Non proseguono il lavoro iniziato prima della laurea";"17,5";"14,7";"18,4";"21,9"
"Hanno iniziato a lavorare dopo la laurea";"70,0";"78,2";"67,5";"43,4"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"2,2";"3,3";"1,8";"1,5"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"5,2";"5,5";"5,1";"3,6"
"Tempo dalla laurea al reperimento del primo lavoro";"7,4";"8,9";"6,9";"5,1"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Professione svolta (%) ";" ";" ";" ";" "
"Imprenditori, legislatori e alta dirigenza";"1,5";"1,5";"1,5";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"59,1";"76,5";"53,3";"94,4"
"Professioni tecniche";"23,3";"9,9";"27,7";"3,6"
"Professioni esecutive nel lavoro d'ufficio";"12,7";"9,5";"13,8";"1,6"
"Altre professioni ";"3,4";"2,6";"3,7";"0,4"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Autonomo ";"16,4";"29,6";"12,2";"0,4"
"Tempo indeterminato ";"43,4";"29,4";"48,0";"42,6"
"Contratti formativi ";"9,4";"7,5";"10,1";"-"
"Non standard ";"23,5";"24,0";"23,1";"56,2"
"Assegno di ricerca";"0,7";"0,5";"0,8";"-"
"Parasubordinato ";"2,4";"2,5";"2,4";"-"
"Altro autonomo ";"2,8";"4,0";"2,4";"-"
"Senza contratto";"1,2";"2,3";"0,9";"0,4"
"Diffusione del part-time (%)";"15,3";"15,9";"15,1";"8,8"
"Numero di ore settimanali di lavoro (medie) ";"36,7";"36,9";"36,7";"25,3"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"21,1";"25,8";"19,2";"82,9"
"Privato";"75,1";"72,8";"76,3";"15,1"
"Non profit";"3,7";"1,3";"4,5";"2,0"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"1,0";"0,4";"1,2";"-"
"Metalmeccanica e meccanica di precisione";"6,0";"0,9";"7,7";"0,4"
"Edilizia ";"4,8";"6,5";"4,3";"-"
"Chimica/Energia ";"6,0";"5,4";"6,2";"-"
"Altra industria manifatturiera ";"5,4";"1,3";"6,7";"-"
"Totale industria";"22,1";"14,1";"24,8";"0,4"
"Commercio ";"8,7";"15,2";"6,6";"-"
"Credito, assicurazioni";"5,0";"4,5";"5,2";"-"
"Trasporti, pubblicità, comunicazioni ";"4,8";"2,1";"5,7";"1,2"
"Consulenze varie ";"16,0";"23,1";"13,8";"0,4"
"Informatica";"4,5";"0,7";"5,8";"-"
"Altri servizi alle imprese";"2,7";"2,0";"3,0";"-"
"Pubblica amministrazione, forze armate";"3,7";"4,8";"3,4";"2,0"
"Istruzione e ricerca ";"16,2";"14,8";"16,2";"93,6"
"Sanità";"7,7";"15,3";"5,2";"1,6"
"Altri servizi ";"7,1";"2,5";"8,6";"0,8"
"Totale servizi";"76,4";"85,1";"73,5";"99,6"
"Area geografica di lavoro (%)";" ";" ";" ";" "
"Nord-Ovest";"29,7";"27,6";"30,4";"20,3"
"Nord-Est";"22,2";"19,5";"23,1";"18,7"
"Centro";"22,0";"22,4";"21,8";"32,3"
"Sud";"15,1";"18,6";"13,9";"19,9"
"Isole";"6,1";"8,0";"5,4";"7,2"
"Estero";"4,8";"3,8";"5,2";"0,8"
"7. Retribuzione"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1559";"1566";"1558";"1417"
"Donne";"1322";"1382";"1299";"1354"
"Totale";"1421";"1444";"1414";"1357"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"56,8";"63,7";"55,5";"71,3"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"15,2";"16,0";"15,2";"8,1"
"Nella posizione lavorativa";"27,6";"33,3";"26,4";"32,3"
"Nelle mansioni svolte";"10,0";"9,0";"10,2";"8,1"
"Nelle competenze professionali";"46,8";"41,4";"47,7";"50,0"
"Sotto altri punti di vista";"0,4";"0,3";"0,4";"1,6"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"54,1";"66,9";"49,8";"80,1"
"In misura ridotta";"37,5";"27,5";"40,9";"18,3"
"Per niente";"8,4";"5,6";"9,3";"1,6"
