"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di laureati";"110269";"31659";"76752";"1858"
"Numero di intervistati";"77589";"22303";"53990";"1296"
"Tasso di risposta sul totale dei laureati";"70,4";"70,4";"70,3";"69,8"
"Genere (%)";" ";" ";" ";" "
"Uomini";"40,1";"37,3";"42,1";"4,4"
"Donne";"59,9";"62,7";"57,9";"95,6"
"Età alla laurea (medie, in anni) ";"27,4";"26,9";"27,5";"31,2"
"Voto di laurea (medie, in 110-mi) ";"106,4";"103,9";"107,6";"102,6"
"Durata degli studi (medie, in anni) ";"4,1";"7,1";"2,8";"6,6"
"Indice di ritardo ";"0,27";"0,29";"0,26";"0,54"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"68,7";"83,3";"63,6";"31,8"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"12,1";"15,8";"10,8";"3,9"
"Tirocinio/praticantato";"24,0";"51,7";"13,0";"2,7"
"Scuola di specializzazione";"11,5";"27,1";"5,1";"7,5"
"Master universitario di primo livello";"5,6";"3,8";"6,3";"9,6"
"Altro tipo di master";"7,3";"7,0";"7,5";"5,2"
"Stage in azienda";"25,9";"17,6";"29,9";"3,4"
"Corso di formazione professionale";"5,6";"4,7";"5,8";"8,4"
"Attività sostenuta da borsa di studio";"5,3";"4,7";"5,7";"0,7"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Condizione occupazionale (%) ";" ";" ";" ";" "
"Lavorano";"68,9";"52,4";"75,1";"95,4"
"Non lavorano e non cercano";"17,8";"32,4";"12,1";"2,9"
"Non lavorano ma cercano";"13,3";"15,2";"12,8";"1,7"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"11,5";"22,8";"7,1";"0,2"
"Quota che lavora, per genere (%)";" ";" ";" ";" "
"Uomini";"71,8";"53,5";"78,4";"96,6"
"Donne";"67,0";"51,7";"72,7";"95,3"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"12,5";"14,4";"12,0";"3,0"
"Non hanno mai lavorato dopo la laurea";"18,6";"33,3";"12,9";"1,6"
"Tasso di occupazione ";"81,8";"75,5";"84,1";"95,5"
"Tasso di disoccupazione ";"9,5";"11,4";"8,9";"1,7"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di occupati";"53482";"11682";"40564";"1236"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"14,1";"6,8";"15,9";"24,1"
"Non proseguono il lavoro iniziato prima della laurea";"16,6";"13,7";"17,2";"25,1"
"Hanno iniziato a lavorare dopo la laurea";"69,3";"79,4";"66,9";"50,7"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"2,1";"3,2";"1,7";"1,4"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"5,7";"6,4";"5,5";"3,4"
"Tempo dalla laurea al reperimento del primo lavoro";"7,8";"9,7";"7,3";"4,8"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Autonomo ";"16,6";"32,5";"12,5";"0,3"
"Tempo indeterminato ";"42,1";"27,9";"45,7";"59,8"
"Contratti formativi ";"7,8";"7,1";"8,2";"0,1"
"Non standard ";"25,0";"20,5";"25,9";"38,8"
"Parasubordinato ";"2,1";"1,9";"2,3";"0,1"
"Altro autonomo ";"3,8";"5,9";"3,4";"0,1"
"Senza contratto";"2,3";"3,9";"1,9";"0,3"
"Diffusione del part-time (%)";"17,7";"17,7";"17,9";"9,3"
"Numero di ore settimanali di lavoro (medie) ";"37,0";"38,9";"36,8";"25,2"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"16,8";"13,1";"15,9";"84,8"
"Privato";"78,5";"85,4";"78,5";"14,0"
"Non profit";"4,5";"1,4";"5,5";"1,2"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"1,1";"0,6";"1,3";"-"
"Metalmeccanica e meccanica di precisione";"6,2";"1,2";"7,8";"0,2"
"Edilizia ";"5,5";"8,4";"4,8";"0,1"
"Chimica/Energia ";"5,8";"6,0";"5,9";"0,1"
"Altra industria manifatturiera ";"5,4";"2,0";"6,5";"0,1"
"Totale industria";"22,8";"17,7";"25,0";"0,4"
"Commercio ";"10,6";"20,0";"8,3";"0,3"
"Credito, assicurazioni";"4,9";"4,3";"5,2";"-"
"Trasporti, pubblicità, comunicazioni ";"4,8";"2,1";"5,7";"0,3"
"Consulenze varie ";"16,7";"29,0";"13,6";"0,4"
"Informatica";"4,3";"0,6";"5,4";"0,2"
"Altri servizi alle imprese";"2,5";"1,5";"2,8";"-"
"Pubblica amministrazione, forze armate";"3,3";"4,2";"3,1";"1,9"
"Istruzione e ricerca ";"13,0";"2,8";"13,5";"94,6"
"Sanità";"6,9";"14,1";"5,0";"0,2"
"Altri servizi ";"8,2";"2,6";"10,0";"1,6"
"Totale servizi";"75,1";"81,1";"72,7";"99,5"
"Area geografica di lavoro (%)";" ";" ";" ";" "
"Nord-Ovest";"28,3";"26,3";"29,0";"24,3"
"Nord-Est";"22,4";"19,6";"23,0";"26,1"
"Centro";"22,1";"21,3";"22,2";"24,7"
"Sud";"15,2";"18,5";"14,2";"18,0"
"Isole";"6,5";"9,0";"5,8";"6,5"
"Estero";"5,3";"5,0";"5,5";"0,3"
"7. Retribuzione"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1493";"1440";"1505";"1348"
"Donne";"1232";"1267";"1217";"1294"
"Totale";"1341";"1332";"1344";"1297"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"51,5";"56,8";"49,7";"77,9"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"17,4";"21,2";"17,3";"12,5"
"Nella posizione lavorativa";"27,9";"30,0";"27,0";"37,1"
"Nelle mansioni svolte";"10,9";"12,4";"11,0";"6,0"
"Nelle competenze professionali";"43,0";"35,1";"44,1";"44,0"
"Sotto altri punti di vista";"0,8";"1,3";"0,7";"0,4"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"51,6";"63,5";"47,2";"86,0"
"In misura ridotta";"38,3";"29,2";"41,7";"12,4"
"Per niente";"10,0";"7,2";"11,0";"1,5"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"56,3";"58,6";"54,8";"84,2"
"Poco adeguata";"34,8";"33,2";"35,9";"14,1"
"Per niente adeguata";"8,6";"7,9";"9,0";"1,7"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"39,7";"67,0";"30,3";"90,7"
"Non richiesta ma necessaria";"22,2";"12,6";"25,5";"4,4"
"Non richiesta ma utile";"29,9";"15,2";"34,9";"4,1"
"Non richiesta né utile";"8,1";"5,1";"9,2";"0,8"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"61,7";"78,0";"56,0";"96,5"
"Abbastanza efficace";"27,3";"15,1";"31,6";"2,5"
"Poco/Per nulla efficace";"11,0";"6,9";"12,4";"1,0"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,6";"7,5";"7,5";"8,8"
"Occupati che cercano lavoro (%)";"29,1";"26,4";"30,6";"7,1"
"10. Ricerca del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di non occupati che cercano lavoro";"10310";"3391";"6897";"22"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" ";" ";" ";" "
"Ultimi 15 giorni";"61,9";"58,9";"63,3";"77,3"
"15-30 giorni fa";"17,5";"18,2";"17,2";"9,1"
"1-6 mesi fa";"15,5";"17,5";"14,5";"9,1"
"Oltre 6 mesi fa";"4,6";"4,9";"4,5";"4,5"
"Numero di non occupati che non cercano lavoro";"13797";"7230";"6529";"38"
"Non occupati che non cercano: motivo della non ricerca (%)";" ";" ";" ";" "
"Studio";"78,1";"84,3";"71,6";"21,1"
"In attesa di chiamata dal datore di lavoro ";"12,5";"10,7";"14,4";"34,2"
"Motivi personali";"7,1";"3,8";"10,6";"44,7"
"Mancanza di opportunità lavorative";"0,9";"0,7";"1,1";"-"
"Altro motivo";"1,1";"0,4";"1,9";"-"
