"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di laureati";"110188";"29542";"76763";"3883"
"Numero di intervistati";"76346";"20475";"53165";"2706"
"Tasso di risposta sul totale dei laureati";"69,3";"69,3";"69,3";"69,7"
"Genere (%)";" ";" ";" ";" "
"Uomini";"38,9";"36,7";"41,6";"3,8"
"Donne";"61,1";"63,3";"58,4";"96,2"
"Età alla laurea (medie, in anni) ";"27,5";"26,9";"27,7";"29,8"
"Voto di laurea (medie, in 110-mi) ";"106,3";"103,7";"107,4";"104,1"
"Durata degli studi (medie, in anni) ";"4,1";"7,1";"2,8";"5,4"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"75,1";"88,8";"71,1";"52,3"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"19,9";"28,9";"17,0";"10,5"
"Tirocinio/praticantato";"28,0";"61,9";"16,2";"3,2"
"Scuola di specializzazione";"13,7";"28,9";"7,8";"14,4"
"Master universitario di primo livello";"6,5";"4,4";"6,9";"15,0"
"Altro tipo di master";"11,1";"11,7";"10,8";"12,0"
"Stage in azienda";"29,1";"21,8";"33,2";"3,9"
"Corso di formazione professionale";"9,5";"8,3";"9,6";"15,8"
"Attività sostenuta da borsa di studio";"7,5";"7,3";"7,9";"1,3"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Condizione occupazionale (%) ";" ";" ";" ";" "
"Lavorano";"70,2";"52,7";"75,7";"95,3"
"Non lavorano e non cercano";"15,2";"29,6";"10,3";"2,8"
"Non lavorano ma cercano";"14,6";"17,7";"14,0";"1,8"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"10,0";"20,1";"6,6";"0,5"
"Quota che lavora, per genere (%)";" ";" ";" ";" "
"Uomini";"72,1";"54,0";"77,9";"96,9"
"Donne";"69,0";"52,0";"74,0";"95,3"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"13,7";"17,7";"12,6";"3,4"
"Non hanno mai lavorato dopo la laurea";"16,1";"29,5";"11,7";"1,2"
"Tasso di occupazione ";"82,5";"74,3";"84,9";"95,6"
"Tasso di disoccupazione ";"9,5";"12,2";"9,0";"1,2"
"4. Ingresso nel mercato del lavoro"
